"Activation Key Required","Activation Key Required"
"Activation Key:","Activation Key:"
"Activate","Activate"
"Your account is now active!","Your account is now active!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>."
"An error occurred during the activation","An error occurred during the activation"
"Username:","Username:"
"Password:","Password:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>."
"Sorry, comments are closed for this item.","Sorry, comments are closed for this item."
"Sorry, you must be logged in to post a comment.","Sorry, you must be logged in to post a comment."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>ERROR</strong>: please fill the required fields (name, email)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>ERROR</strong>: please enter a valid email address."
"<strong>ERROR</strong>: please type a comment.","<strong>ERROR</strong>: please type a comment."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s requires WordPress 3.0 or higher."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>."
"Comment History","Comment History"
"Settings","Settings"
"Cheatin&#8217; uh?","Cheatin&#8217; uh?"
"Your key has been cleared.","Your key has been cleared."
"Your key has been verified. Happy blogging!","Your key has been verified. Happy blogging!"
"The key you entered is invalid. Please double-check it.","The key you entered is invalid. Please double-check it."
